TimeStamp,v46,v32,v20,direction
1/1/2010 0:10,9.744382,8.480811,7.439147,49.80267
1/1/2010 0:20,9.655241,8.413128,7.348285,49.74016
1/1/2010 0:30,9.697503,8.625723,7.713534,48.37947
1/1/2010 0:40,9.759331,8.671771,7.570335,46.89586
1/1/2010 0:50,9.791498,8.51785,7.400645,48.34703
1/1/2010 1:00,9.879816,8.746838,7.576015,46.74796
1/1/2010 1:10,9.971289,8.663563,7.507254,45.34361
1/1/2010 1:20,9.645146,8.405559,7.271955,44.24261
1/1/2010 1:30,9.069819,7.897742,6.894714,42.47298
1/1/2010 1:40,8.568933,7.46751,6.449348,38.95218
1/1/2010 1:50,8.265494,7.240412,6.294795,39.1678
1/1/2010 2:00,8.546234,7.566551,6.614629,38.96642
1/1/2010 2:10,8.176563,7.109832,6.227926,39.05032
1/1/2010 2:20,8.270553,7.126235,6.071478,40.33005
1/1/2010 2:30,8.275599,7.126869,6.106802,40.88997
1/1/2010 2:40,8.070574,7.022779,6.077159,39.93604
1/1/2010 2:50,8.059216,7.061891,6.038045,40.3309
1/1/2010 3:00,8.08193,7.041073,6.11564,40.54427
1/1/2010 3:10,7.881951,6.853715,5.768681,40.82121
1/1/2010 3:20,8.001819,6.991234,6.082203,38.12431
1/1/2010 3:30,7.951977,7.000076,6.140871,34.89229
1/1/2010 3:40,7.917898,6.951498,6.053815,33.76561
1/1/2010 3:50,8.205582,7.171656,6.152861,34.96786
1/1/2010 4:00,8.397346,7.368476,6.354722,37.24286
1/1/2010 4:10,8.585945,7.396225,6.308675,38.64215
1/1/2010 4:20,8.338686,7.198781,6.203957,38.87572
1/1/2010 4:30,8.147535,7.122455,6.055078,37.98615
1/1/2010 4:40,7.526815,6.735107,5.927649,32.99066
1/1/2010 4:50,6.930047,6.06517,5.240675,33.39296
1/1/2010 5:00,6.779894,5.972442,5.118291,34.34978
1/1/2010 5:10,6.679597,5.754796,5.014834,36.21986
1/1/2010 5:20,6.583073,5.795805,4.857123,34.12195
1/1/2010 5:30,6.458188,5.599611,4.666611,35.61874
1/1/2010 5:40,6.672034,5.850687,5.054572,34.43765
1/1/2010 5:50,7.147691,6.260733,5.3088,36.00174
1/1/2010 6:00,7.765249,6.806402,5.838068,36.71915
1/1/2010 6:10,8.628223,7.536278,6.399508,37.97107
